dateissue,Value
14000628,1420479
14000627,1450225.4
14000624,1488212.7
14000623,1496962.7
14000622,1475224.9
14000621,1489983.3
14000620,1530461.8
14000617,1526008.3
14000616,1523059.9
14000615,1538484.5
14000614,1537192.9
14000613,1541051.8
14000610,1520627.1
14000609,1496150.8
14000608,1523969.6
14000607,1573406.5
14000606,1575762
14000603,1550208.4
14000602,1543448.3
14000601,1515923.5
14000531,1515548.6
14000524,1499923.4
14000523,1480803.6
14000520,1484627.3
14000519,1453811.7
14000518,1433201.7
14000517,1417861.9
14000516,1407762.2
14000513,1406040.3
14000512,1375647.2
14000511,1357895.2
14000510,1360246.6
14000509,1351500.1
14000506,1316504.6
14000505,1314909.1
14000504,1323354.6
14000428,1311306
14000427,1302857.2
14000426,1311241
14000423,1305495.5
14000422,1303890.1
14000421,1304336.3
14000420,1285256.4
14000419,1270744.3
14000416,1282036.1
14000415,1281187
14000414,1254561.8
14000413,1243719.1
14000412,1246111.9
14000409,1256978.2
14000408,1248516.5
14000407,1243812.3
14000406,1238487.2
14000405,1233738.1
14000402,1213054.6
14000401,1186921.5
14000331,1168664.7
14000330,1163757
14000329,1162032
14000326,1147675
14000325,1150129.2
14000324,1150203.6
14000323,1141225.9
14000322,1144955
14000319,1151846.3
14000318,1160665.6
14000317,1157205.4
14000312,1148642.7
14000311,1140475.4
14000310,1145930
14000309,1156933.8
14000308,1139534.9
14000305,1109348.8
14000304,1105454.2
14000303,1095697.7
14000302,1107915.1
14000301,1128218.2
14000229,1154844.7
14000228,1173514.3
14000227,1174659.7
14000226,1188811.1
14000225,1189595.7
14000222,1184000.3
14000221,1179527.1
14000220,1157682.9
14000219,1151896.4
14000218,1167462.4
14000215,1172262.4
14000213,1167045.1
14000212,1180663.6
14000211,1194338.6
14000208,1207850.4
14000207,1202630.4
14000206,1186956.5
14000205,1187843
14000204,1199341.7
14000201,1207047
14000131,1219589.9
14000130,1216874.3
14000129,1224795.3
14000128,1233781.8
14000125,1243358.7
14000124,1244556.7
14000123,1226158.2
14000122,1230876.5
14000121,1240696.7
14000118,1249910.4
14000117,1260785.7
14000116,1262735.3
14000115,1269478.7
14000114,1282948.7
14000111,1294521.6
14000110,1303193.7
14000108,1306887.8
14000107,1309561.6
13991227,1307707.1
13991226,1290474.5
13991225,1254213
13991224,1245186
13991223,1229377.2
13991220,1206878
13991219,1210146.7
13991218,1199888.4
13991217,1175595.8
13991216,1169724.3
13991213,1177916.9
13991212,1186277.3
13991211,1181641.2
13991210,1185603.7
13991209,1194009.9
13991206,1205832.4
13991205,1211642.8
13991204,1214482.7
13991203,1222614.3
13991202,1232716.1
13991129,1238357.4
13991128,1245882.9
13991127,1257286.2
