dateissue,Value
13991126,1264368.7
13991125,1262253.7
13991121,1214416.1
13991120,1192744.4
13991119,1170532.9
13991118,1135345.5
13991115,1173010.7
13991114,1205467.1
13991113,1233667.6
13991112,1251041.7
13991111,1247152.7
13991108,1207698.3
13991107,1215033.1
13991106,1235783.1
13991105,1234557.5
13991104,1222070.6
13991101,1183978.2
